timestamp_ms,currency,ta_signal,signal
1773183599999,SOL,-1,SELL
1773187199999,SOL,-1,SELL
1773190799999,SOL,-1,SELL
1773194399999,SOL,-1,SELL
1773197999999,SOL,-1,SELL
1773201599999,SOL,-1,SELL
1773205199999,SOL,-1,SELL
1773208799999,SOL,-1,SELL
1773212399999,SOL,-1,SELL
1773215999999,SOL,-1,SELL
1773219599999,SOL,-1,SELL
1773223199999,SOL,-1,SELL
1773226799999,SOL,-1,SELL
1773230399999,SOL,-1,SELL
1773233999999,SOL,-1,SELL
1773237599999,SOL,-1,SELL
1773241199999,SOL,1,BUY
1773244799999,SOL,-1,SELL
1773248399999,SOL,0,HOLD
1773251999999,SOL,0,HOLD
1773255599999,SOL,0,HOLD
1773259199999,SOL,0,HOLD
1773262799999,SOL,0,HOLD
1773266399999,SOL,0,HOLD
1773269999999,SOL,0,HOLD
1773273599999,SOL,0,HOLD
1773277199999,SOL,0,HOLD
1773280799999,SOL,-1,SELL
1773284399999,SOL,-1,SELL
1773287999999,SOL,-1,SELL
1773291599999,SOL,-1,SELL
1773295199999,SOL,-1,SELL
1773298799999,SOL,-1,SELL
1773302399999,SOL,-1,SELL
1773305999999,SOL,-1,SELL
1773309599999,SOL,-1,SELL
1773313199999,SOL,1,BUY
1773316799999,SOL,0,HOLD
1773320399999,SOL,0,HOLD
1773323999999,SOL,0,HOLD
1773327599999,SOL,-1,SELL
1773331199999,SOL,0,HOLD
1773334799999,SOL,0,HOLD
1773338399999,SOL,0,HOLD
1773341999999,SOL,-1,SELL
1773345599999,SOL,0,HOLD
1773349199999,SOL,0,HOLD
1773352799999,SOL,0,HOLD
1773356399999,SOL,-1,SELL
1773359999999,SOL,0,HOLD
1773363599999,SOL,0,HOLD
1773367199999,SOL,0,HOLD
1773370799999,SOL,0,HOLD
1773374399999,SOL,0,HOLD
1773377999999,SOL,0,HOLD
1773381599999,SOL,0,HOLD
1773385199999,SOL,0,HOLD
1773388799999,SOL,0,HOLD
1773392399999,SOL,0,HOLD
1773395999999,SOL,0,HOLD
1773399599999,SOL,0,HOLD
1773403199999,SOL,0,HOLD
1773406799999,SOL,0,HOLD
1773410399999,SOL,0,HOLD
1773413999999,SOL,0,HOLD
1773417599999,SOL,0,HOLD
1773421199999,SOL,-1,SELL
1773424799999,SOL,-1,SELL
1773428399999,SOL,-1,SELL
1773431999999,SOL,-1,SELL
1773435599999,SOL,-1,SELL
1773439199999,SOL,-1,SELL
1773442799999,SOL,-1,SELL
1773446399999,SOL,-1,SELL
1773449999999,SOL,-1,SELL
1773453599999,SOL,-1,SELL
1773457199999,SOL,-1,SELL
1773460799999,SOL,-1,SELL
1773464399999,SOL,-1,SELL
1773467999999,SOL,-1,SELL
1773471599999,SOL,-1,SELL
1773475199999,SOL,-1,SELL
1773478799999,SOL,-1,SELL
1773482399999,SOL,-1,SELL
1773485999999,SOL,-1,SELL
1773489599999,SOL,-1,SELL
1773493199999,SOL,-1,SELL
1773496799999,SOL,-1,SELL
1773500399999,SOL,-1,SELL
1773503999999,SOL,-1,SELL
1773507599999,SOL,-1,SELL
1773511199999,SOL,-1,SELL
1773514799999,SOL,-1,SELL
1773518399999,SOL,-1,SELL
1773521999999,SOL,-1,SELL
1773525599999,SOL,-1,SELL
1773529199999,SOL,-1,SELL
1773532799999,SOL,0,HOLD
1773536399999,SOL,0,HOLD
1773539999999,SOL,0,HOLD
1773543599999,SOL,0,HOLD
1773547199999,SOL,0,HOLD
1773550799999,SOL,0,HOLD
1773554399999,SOL,0,HOLD
1773557999999,SOL,0,HOLD
1773561599999,SOL,0,HOLD
1773565199999,SOL,0,HOLD
1773568799999,SOL,0,HOLD
1773572399999,SOL,0,HOLD
1773575999999,SOL,0,HOLD
1773579599999,SOL,0,HOLD
1773583199999,SOL,-1,SELL
1773586799999,SOL,-1,SELL
1773590399999,SOL,-1,SELL
1773593999999,SOL,-1,SELL
1773597599999,SOL,-1,SELL
1773601199999,SOL,-1,SELL
1773604799999,SOL,-1,SELL
1773608399999,SOL,1,BUY
1773611999999,SOL,0,HOLD
1773615599999,SOL,0,HOLD
1773619199999,SOL,0,HOLD
1773622799999,SOL,0,HOLD
1773626399999,SOL,0,HOLD
1773629999999,SOL,0,HOLD
1773633599999,SOL,0,HOLD
1773637199999,SOL,0,HOLD
1773640799999,SOL,0,HOLD
1773644399999,SOL,0,HOLD
1773647999999,SOL,0,HOLD
1773651599999,SOL,0,HOLD
1773655199999,SOL,0,HOLD
1773658799999,SOL,0,HOLD
1773662399999,SOL,0,HOLD
1773665999999,SOL,0,HOLD
1773669599999,SOL,-1,SELL
1773673199999,SOL,-1,SELL
1773676799999,SOL,-1,SELL
1773680399999,SOL,-1,SELL
1773683999999,SOL,-1,SELL
1773687599999,SOL,-1,SELL
1773691199999,SOL,-1,SELL
1773694799999,SOL,1,BUY
1773698399999,SOL,0,HOLD
1773701999999,SOL,0,HOLD
1773705599999,SOL,0,HOLD
1773709199999,SOL,0,HOLD
1773712799999,SOL,-1,SELL
1773716399999,SOL,-1,SELL
1773719999999,SOL,-1,SELL
1773723599999,SOL,-1,SELL
1773727199999,SOL,-1,SELL
1773730799999,SOL,-1,SELL
1773734399999,SOL,-1,SELL
1773737999999,SOL,-1,SELL
1773741599999,SOL,-1,SELL
1773745199999,SOL,-1,SELL
1773748799999,SOL,-1,SELL
1773752399999,SOL,-1,SELL
1773755999999,SOL,-1,SELL
1773759599999,SOL,-1,SELL
1773763199999,SOL,-1,SELL
1773766799999,SOL,-1,SELL
1773770399999,SOL,-1,SELL
1773773999999,SOL,-1,SELL
1773777599999,SOL,1,BUY
1773781199999,SOL,0,HOLD
1773784799999,SOL,0,HOLD
1773788399999,SOL,0,HOLD
1773791999999,SOL,0,HOLD
1773795599999,SOL,-1,SELL
1773799199999,SOL,-1,SELL
1773802799999,SOL,-1,SELL
1773806399999,SOL,-1,SELL
1773809999999,SOL,-1,SELL
1773813599999,SOL,-1,SELL
1773817199999,SOL,-1,SELL
1773820799999,SOL,-1,SELL
1773824399999,SOL,-1,SELL
1773827999999,SOL,-1,SELL
1773831599999,SOL,-1,SELL
1773835199999,SOL,-1,SELL
1773838799999,SOL,-1,SELL
1773842399999,SOL,-1,SELL
1773845999999,SOL,-1,SELL
1773849599999,SOL,-1,SELL
1773853199999,SOL,-1,SELL
1773856799999,SOL,-1,SELL
1773860399999,SOL,-1,SELL
1773863999999,SOL,-1,SELL
1773867599999,SOL,-1,SELL
1773871199999,SOL,-1,SELL
1773874799999,SOL,-1,SELL
1773878399999,SOL,-1,SELL
1773881999999,SOL,-1,SELL
1773885599999,SOL,-1,SELL
1773889199999,SOL,-1,SELL
1773892799999,SOL,-1,SELL
1773896399999,SOL,-1,SELL
1773899999999,SOL,-1,SELL
1773903599999,SOL,-1,SELL
1773907199999,SOL,-1,SELL
1773910799999,SOL,-1,SELL
1773914399999,SOL,-1,SELL
1773917999999,SOL,-1,SELL
1773921599999,SOL,-1,SELL
1773925199999,SOL,-1,SELL
1773928799999,SOL,-1,SELL
1773932399999,SOL,-1,SELL
1773935999999,SOL,-1,SELL
1773939599999,SOL,-1,SELL
1773943199999,SOL,-1,SELL
1773946799999,SOL,-1,SELL
1773950399999,SOL,-1,SELL
1773953999999,SOL,-1,SELL
1773957599999,SOL,-1,SELL
1773961199999,SOL,-1,SELL
1773964799999,SOL,-1,SELL
1773968399999,SOL,0,HOLD
1773971999999,SOL,0,HOLD
1773975599999,SOL,0,HOLD
1773979199999,SOL,0,HOLD
1773982799999,SOL,0,HOLD
1773986399999,SOL,0,HOLD
1773989999999,SOL,-1,SELL
1773993599999,SOL,0,HOLD
1773997199999,SOL,0,HOLD
1774000799999,SOL,-1,SELL
1774004399999,SOL,0,HOLD
1774007999999,SOL,-1,SELL
1774011599999,SOL,-1,SELL
1774015199999,SOL,-1,SELL
1774018799999,SOL,-1,SELL
1774022399999,SOL,-1,SELL
1774025999999,SOL,-1,SELL
1774029599999,SOL,-1,SELL
1774033199999,SOL,-1,SELL
1774036799999,SOL,-1,SELL
1774040399999,SOL,-1,SELL
1774043999999,SOL,0,HOLD
1774047599999,SOL,0,HOLD
1774051199999,SOL,0,HOLD
1774054799999,SOL,0,HOLD
1774058399999,SOL,0,HOLD
1774061999999,SOL,0,HOLD
1774065599999,SOL,0,HOLD
1774069199999,SOL,0,HOLD
1774072799999,SOL,0,HOLD
1774076399999,SOL,0,HOLD
1774079999999,SOL,0,HOLD
1774083599999,SOL,0,HOLD
1774087199999,SOL,0,HOLD
1774090799999,SOL,0,HOLD
1774094399999,SOL,-1,SELL
1774097999999,SOL,-1,SELL
1774101599999,SOL,-1,SELL
1774105199999,SOL,-1,SELL
1774108799999,SOL,-1,SELL
1774112399999,SOL,-1,SELL
1774115999999,SOL,-1,SELL
1774119599999,SOL,-1,SELL
1774123199999,SOL,-1,SELL
1774126799999,SOL,-1,SELL
1774130399999,SOL,-1,SELL
1774133999999,SOL,-1,SELL
1774137599999,SOL,-1,SELL
1774141199999,SOL,-1,SELL
1774144799999,SOL,-1,SELL
1774148399999,SOL,-1,SELL
1774151999999,SOL,-1,SELL
1774155599999,SOL,-1,SELL
1774159199999,SOL,-1,SELL
1774162799999,SOL,-1,SELL
1774166399999,SOL,-1,SELL
1774169999999,SOL,-1,SELL
1774173599999,SOL,-1,SELL
1774177199999,SOL,-1,SELL
1774180799999,SOL,-1,SELL
1774184399999,SOL,-1,SELL
1774187999999,SOL,-1,SELL
1774191599999,SOL,-1,SELL
1774195199999,SOL,-1,SELL
1774198799999,SOL,-1,SELL
1774202399999,SOL,-1,SELL
1774205999999,SOL,-1,SELL
1774209599999,SOL,-1,SELL
1774213199999,SOL,-1,SELL
1774216799999,SOL,-1,SELL
1774220399999,SOL,-1,SELL
1774223999999,SOL,-1,SELL
1774227599999,SOL,-1,SELL
1774231199999,SOL,-1,SELL
1774234799999,SOL,-1,SELL
1774238399999,SOL,-1,SELL
1774241999999,SOL,-1,SELL
1774245599999,SOL,0,HOLD
1774249199999,SOL,-1,SELL
1774252799999,SOL,-1,SELL
1774256399999,SOL,-1,SELL
1774259999999,SOL,-1,SELL
1774263599999,SOL,-1,SELL
1774267199999,SOL,0,HOLD
1774270799999,SOL,0,HOLD
1774274399999,SOL,0,HOLD
1774277999999,SOL,0,HOLD
1774281599999,SOL,0,HOLD
1774285199999,SOL,0,HOLD
1774288799999,SOL,0,HOLD
1774292399999,SOL,0,HOLD
1774295999999,SOL,0,HOLD
1774299599999,SOL,0,HOLD
1774303199999,SOL,0,HOLD
1774306799999,SOL,0,HOLD
1774310399999,SOL,0,HOLD
1774313999999,SOL,0,HOLD
1774317599999,SOL,0,HOLD
1774321199999,SOL,-1,SELL
1774324799999,SOL,-1,SELL
1774328399999,SOL,-1,SELL
1774331999999,SOL,-1,SELL
1774335599999,SOL,-1,SELL
1774339199999,SOL,-1,SELL
1774342799999,SOL,-1,SELL
1774346399999,SOL,-1,SELL
1774349999999,SOL,-1,SELL
1774353599999,SOL,-1,SELL
1774357199999,SOL,-1,SELL
1774360799999,SOL,-1,SELL
1774364399999,SOL,-1,SELL
1774367999999,SOL,-1,SELL
1774371599999,SOL,-1,SELL
1774375199999,SOL,-1,SELL
1774378799999,SOL,-1,SELL
1774382399999,SOL,-1,SELL
1774385999999,SOL,-1,SELL
1774389599999,SOL,-1,SELL
1774393199999,SOL,-1,SELL
1774396799999,SOL,-1,SELL
1774400399999,SOL,1,BUY
1774403999999,SOL,0,HOLD
1774407599999,SOL,0,HOLD
1774411199999,SOL,0,HOLD
1774414799999,SOL,0,HOLD
